intent_probability,intent_level,action,message,cost_eur,top_reasons,true_label,true_numeric
0.0707,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.077)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.256)"", ""'Month_May' increased the purchase chance (SHAP = +0.247)""]",BROWSER,0
0.0032,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.583)"", ""'Month_May' decreased the purchase chance (SHAP = -2.277)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.399)""]",BROWSER,0
0.5549,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +2.292)"", ""'Month_May' decreased the purchase chance (SHAP = -0.846)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.501)""]",BROWSER,0
0.0057,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.522)"", ""'Month_May' decreased the purchase chance (SHAP = -2.213)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.237)""]",BROWSER,0
0.2494,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.748)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.349)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.234)""]",BUYER,1
0.0922,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.977)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.289)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.271)""]",BROWSER,0
0.0248,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.536)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.886)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.599)""]",BROWSER,0
0.0857,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' increased the purchase chance (SHAP = +1.455)"", ""'Month_May' decreased the purchase chance (SHAP = -0.919)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.826)""]",BROWSER,0
0.2924,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.824)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.486)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.302)""]",BROWSER,0
0.9428,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.805)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.663)"", ""'Administrative' increased the purchase chance (SHAP = +0.153)""]",BUYER,1
0.1096,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.874)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.445)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.365)""]",BROWSER,0
0.0113,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.442)"", ""'Month_Mar' decreased the purchase chance (SHAP = -2.309)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.317)""]",BROWSER,0
0.9661,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.977)"", ""'Month_May' decreased the purchase chance (SHAP = -0.895)"", ""'VisitorType_Returning_Visitor' increased the purchase chance (SHAP = +0.336)""]",BUYER,1
0.0139,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'ExitRates' decreased the purchase chance (SHAP = -1.926)"", ""'PageValues' decreased the purchase chance (SHAP = -1.913)"", ""'ProductRelated' increased the purchase chance (SHAP = +0.435)""]",BROWSER,0
0.1604,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.938)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.387)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.336)""]",BROWSER,0
0.0045,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.733)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.939)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.259)""]",BROWSER,0
0.2691,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.589)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.628)"", ""'TrafficType_8' increased the purchase chance (SHAP = +0.317)""]",BROWSER,0
0.333,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.736)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.522)"", ""'Month_May' increased the purchase chance (SHAP = +0.213)""]",BROWSER,0
0.9399,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.062)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.467)"", ""'OperatingSystems_4' decreased the purchase chance (SHAP = -0.219)""]",BUYER,1
0.2768,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.620)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.538)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.300)""]",BROWSER,0
0.9742,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +4.054)"", ""'Month_May' decreased the purchase chance (SHAP = -0.835)"", ""'BounceRates' increased the purchase chance (SHAP = +0.329)""]",BUYER,1
0.1412,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.668)"", ""'Month_May' increased the purchase chance (SHAP = +0.338)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.301)""]",BROWSER,0
0.8952,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.953)"", ""'Month_Mar' decreased the purchase chance (SHAP = -0.701)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.240)""]",BROWSER,0
0.0015,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.678)"", ""'Month_May' decreased the purchase chance (SHAP = -1.850)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.152)""]",BROWSER,0
0.2732,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.725)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.344)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.313)""]",BROWSER,0
0.0057,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.939)"", ""'Month_May' decreased the purchase chance (SHAP = -2.219)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.281)""]",BROWSER,0
0.0029,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.493)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.862)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.783)""]",BROWSER,0
0.0047,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.565)"", ""'PageValues' decreased the purchase chance (SHAP = -2.081)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.497)""]",BROWSER,0
0.2194,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.850)"", ""'Month_May' increased the purchase chance (SHAP = +0.325)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.244)""]",BROWSER,0
0.0013,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.676)"", ""'Month_May' decreased the purchase chance (SHAP = -1.930)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.162)""]",BROWSER,0
0.4083,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +0.929)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.838)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.298)""]",BROWSER,0
0.8962,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.954)"", ""'Month_May' decreased the purchase chance (SHAP = -0.888)"", ""'ProductRelated' increased the purchase chance (SHAP = +0.242)""]",BUYER,1
0.0047,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.626)"", ""'PageValues' decreased the purchase chance (SHAP = -2.486)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.340)""]",BROWSER,0
0.7683,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.083)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.363)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.350)""]",BUYER,1
0.1514,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.371)"", ""'Month_May' increased the purchase chance (SHAP = +0.326)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.295)""]",BROWSER,0
0.0046,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.602)"", ""'Month_May' decreased the purchase chance (SHAP = -2.336)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.252)""]",BROWSER,0
0.0046,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.447)"", ""'PageValues' decreased the purchase chance (SHAP = -2.191)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.361)""]",BROWSER,0
0.8272,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.234)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.743)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.310)""]",BUYER,1
0.7597,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.030)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.738)"", ""'Administrative_Duration' decreased the purchase chance (SHAP = -0.366)""]",BROWSER,0
0.0526,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.327)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.533)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.385)""]",BROWSER,0
0.7273,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.339)"", ""'Month_May' decreased the purchase chance (SHAP = -0.893)"", ""'Region_4' decreased the purchase chance (SHAP = -0.466)""]",BUYER,1
0.1253,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.592)"", ""'Month_May' increased the purchase chance (SHAP = +0.301)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.252)""]",BROWSER,0
0.3374,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.181)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.477)"", ""'Month_May' increased the purchase chance (SHAP = +0.218)""]",BROWSER,0
0.092,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.810)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.365)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.348)""]",BROWSER,0
0.202,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.834)"", ""'Month_May' increased the purchase chance (SHAP = +0.323)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.250)""]",BROWSER,0
0.3005,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.117)"", ""'Month_May' increased the purchase chance (SHAP = +0.302)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.212)""]",BROWSER,0
0.0027,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'Month_May' decreased the purchase chance (SHAP = -2.644)"", ""'PageValues' decreased the purchase chance (SHAP = -2.473)"", ""'Region_4' decreased the purchase chance (SHAP = -0.322)""]",BROWSER,0
0.0727,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.638)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.340)"", ""'TrafficType_13' decreased the purchase chance (SHAP = -0.305)""]",BROWSER,0
0.0048,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.839)"", ""'Month_May' decreased the purchase chance (SHAP = -2.201)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.245)""]",BROWSER,0
0.0032,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.440)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.826)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.595)""]",BROWSER,0
0.0039,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.704)"", ""'Month_May' decreased the purchase chance (SHAP = -2.248)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.265)""]",BROWSER,0
0.102,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.585)"", ""'Month_May' increased the purchase chance (SHAP = +0.314)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.275)""]",BROWSER,0
0.6861,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.855)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.799)"", ""'BounceRates' increased the purchase chance (SHAP = +0.268)""]",BUYER,1
0.1957,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.758)"", ""'Month_May' increased the purchase chance (SHAP = +0.303)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.224)""]",BROWSER,0
0.2785,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.793)"", ""'Month_May' increased the purchase chance (SHAP = +0.344)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.262)""]",BROWSER,0
0.0454,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.943)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.298)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.240)""]",BROWSER,0
0.0014,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.755)"", ""'Month_May' decreased the purchase chance (SHAP = -2.626)"", ""'Informational_Duration' decreased the purchase chance (SHAP = -0.400)""]",BROWSER,0
0.9551,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.242)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.781)"", ""'BounceRates' increased the purchase chance (SHAP = +0.386)""]",BUYER,1
0.4639,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' increased the purchase chance (SHAP = +2.571)"", ""'Month_May' decreased the purchase chance (SHAP = -0.922)"", ""'Browser_6' decreased the purchase chance (SHAP = -0.553)""]",BROWSER,0
0.4601,MEDIUM,10% Personalised Discount Coupon,Send a discount code to the user's registered email.,5.0,"[""'PageValues' decreased the purchase chance (SHAP = -1.319)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.804)"", ""'ProductRelated' increased the purchase chance (SHAP = +0.249)""]",BROWSER,0
0.7118,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.577)"", ""'Month_May' decreased the purchase chance (SHAP = -0.964)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.282)""]",BROWSER,0
0.975,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +3.815)"", ""'Month_Mar' decreased the purchase chance (SHAP = -0.880)"", ""'BounceRates' increased the purchase chance (SHAP = +0.235)""]",BUYER,1
0.0653,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.370)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.468)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.418)""]",BUYER,1
0.1085,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.884)"", ""'TrafficType_3' decreased the purchase chance (SHAP = -0.489)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.256)""]",BROWSER,0
0.0452,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.837)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.326)"", ""'Month_Dec' decreased the purchase chance (SHAP = -0.301)""]",BROWSER,0
0.0141,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.691)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.578)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.292)""]",BROWSER,0
0.8713,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.385)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.652)"", ""'Administrative' decreased the purchase chance (SHAP = -0.285)""]",BUYER,1
0.1285,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.947)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.265)"", ""'Month_May' increased the purchase chance (SHAP = +0.257)""]",BROWSER,0
0.0656,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.785)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.334)"", ""'Month_Dec' decreased the purchase chance (SHAP = -0.269)""]",BROWSER,0
0.0032,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.525)"", ""'Month_May' decreased the purchase chance (SHAP = -2.047)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.552)""]",BROWSER,0
0.0555,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.864)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.714)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.540)""]",BROWSER,0
0.6967,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'Month_Nov' increased the purchase chance (SHAP = +0.717)"", ""'PageValues' decreased the purchase chance (SHAP = -0.361)"", ""'Month_May' increased the purchase chance (SHAP = +0.217)""]",BUYER,1
0.8545,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.034)"", ""'ExitRates' increased the purchase chance (SHAP = +0.452)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.329)""]",BROWSER,0
0.7712,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.439)"", ""'Month_Dec' decreased the purchase chance (SHAP = -0.295)"", ""'BounceRates' increased the purchase chance (SHAP = +0.280)""]",BROWSER,0
0.2738,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' increased the purchase chance (SHAP = +2.553)"", ""'Month_May' decreased the purchase chance (SHAP = -0.873)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.845)""]",BROWSER,0
0.2455,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.540)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.625)"", ""'TrafficType_13' decreased the purchase chance (SHAP = -0.196)""]",BROWSER,0
0.938,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.294)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.443)"", ""'ProductRelated_Duration' decreased the purchase chance (SHAP = -0.217)""]",BUYER,1
0.2712,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.712)"", ""'Month_May' increased the purchase chance (SHAP = +0.327)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.252)""]",BROWSER,0
0.0229,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.945)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.033)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.284)""]",BROWSER,0
0.0056,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.724)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.898)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.304)""]",BROWSER,0
0.8727,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.338)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.471)"", ""'Informational_Duration' increased the purchase chance (SHAP = +0.250)""]",BROWSER,0
0.0021,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.572)"", ""'Month_May' decreased the purchase chance (SHAP = -1.894)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.131)""]",BROWSER,0
0.0061,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.618)"", ""'Month_Mar' decreased the purchase chance (SHAP = -1.587)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.291)""]",BROWSER,0
0.7721,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +2.627)"", ""'Month_Mar' decreased the purchase chance (SHAP = -0.720)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.412)""]",BUYER,1
0.0794,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.920)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.436)"", ""'Month_Oct' decreased the purchase chance (SHAP = -0.310)""]",BROWSER,0
0.0539,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.117)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.240)"", ""'Month_May' increased the purchase chance (SHAP = +0.239)""]",BROWSER,0
0.1422,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.562)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.524)"", ""'Month_May' increased the purchase chance (SHAP = +0.270)""]",BROWSER,0
0.1734,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.605)"", ""'Month_May' increased the purchase chance (SHAP = +0.313)"", ""'Month_Mar' increased the purchase chance (SHAP = +0.237)""]",BROWSER,0
0.0559,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.875)"", ""'ExitRates' decreased the purchase chance (SHAP = -0.554)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.434)""]",BROWSER,0
0.1484,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.241)"", ""'Month_May' increased the purchase chance (SHAP = +0.278)"", ""'BounceRates' decreased the purchase chance (SHAP = -0.277)""]",BROWSER,0
0.1365,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.879)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.394)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.294)""]",BROWSER,0
0.374,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' increased the purchase chance (SHAP = +2.709)"", ""'Month_May' decreased the purchase chance (SHAP = -0.849)"", ""'Administrative' decreased the purchase chance (SHAP = -0.845)""]",BUYER,1
0.0016,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -2.602)"", ""'Month_May' decreased the purchase chance (SHAP = -1.833)"", ""'ExitRates' decreased the purchase chance (SHAP = -1.143)""]",BROWSER,0
0.8738,HIGH,Urgency Banner + Premium Bundle,Show a live countdown timer and bundle offer on the page.,0.0,"[""'PageValues' increased the purchase chance (SHAP = +1.912)"", ""'VisitorType_Returning_Visitor' increased the purchase chance (SHAP = +0.406)"", ""'Month_Nov' decreased the purchase chance (SHAP = -0.271)""]",BUYER,1
0.2757,LOW,Retargeting Ad Only,Add to display ad audience — no direct outreach needed.,0.5,"[""'PageValues' decreased the purchase chance (SHAP = -1.775)"", ""'Month_Nov' increased the purchase chance (SHAP = +0.532)"", ""'ProductRelated' decreased the purchase chance (SHAP = -0.243)""]",BROWSER,0
